FeatureID,RP_S37,RP_S38,RP_S39,RP_S40,RP_S41,RP_S42,RP_S43,RP_S44,RP_S45,RP_S46,RP_S47,RP_S48,RP_S49,RP_S50,RP_S51,RP_S52,RP_S53,RP_S54,RP_S55,RP_S56,RP_S57,RP_S58,RP_S59,RP_S60,RP_S61,RP_S62,RP_S63,RP_S64,RP_S65,RP_S66,RP_S67,RP_S68,RP_S69,RP_S70,RP_S71,RP_S72
Feature0241,16234099.65,15129713.75,14121467.85,15081733.06,16480715.71,39485903.6,15964807.23,14618539.31,19062506.77,16014924.92,19950739.52,20351400.66,25612456.68,19896139.47,20590984.26,25610369.79,17999904.15,16946479.86,14354903.62,17811847.93,18603774.77,30872517.62,19580355.44,29096677.94,20065630.95,25781471.71,19082831.28,20697769.52,16819426.11,23919975.09,20273606.18,22138883.09,21771868.23,21308666.18,20055641.93,27141477.16
Feature0240,63826975.19,67248688.99,65159523.69,56583190.39,64442374.55,65993268.29,67275145.42,61942330.56,54755328.26,60380039.08,68636051.44,46585538.7,52450607.56,69437063.37,57874771.64,55010816.3,58373761.64,56053196.9,66843326.46,62177873.49,35430669.59,44215379.51,41762918.1,39380547.69,32404457.36,29275502.71,23504385.77,32180518.6,13788620.07,16861319.52,22524843.2,31679562.88,38685538.4,34418177.32,31150107.57,37035951.32
Feature0239,35483422.9,31483226.86,25968275.24,38782505.38,58622215.08,48627467.4,32696032.18,34205840.64,32096112.48,32021139.45,35138944.86,42152396,42168364.17,45881345.82,42417767.32,31422793.03,38050437.37,29555325.73,36973234.69,54509348.4,28595297.97,29041740.58,25355106.26,27058177.75,29657857.91,52414840.91,29742715.04,38554604.57,31714161.67,31697772.36,24547814.04,27172633.93,42094930.51,28690125.33,29107434.11,29540656.34
Feature0238,86870586.81,61857209.41,68108761.05,73927052.79,99535154.18,84550290.21,90252717.79,71301010.57,56215812.85,92207419.24,95335693.61,86938566.69,80884450.53,81633750.99,129114145,63507314.12,71552345.74,62633788.69,72582675.96,95501035.22,60640495.58,96269361.37,55970488.42,52580536.21,65987003.64,100148955.2,69524266.19,111302061.1,71359155.07,63134168.64,58565808.63,68460274.36,86201013.97,65880880.94,68854025.92,68068133.31
Feature0237,5309349.771,4049808.041,4536365.169,5172418.744,4688850.168,19526168.71,5335429.775,4407291.523,7257130.172,5543004.494,6676152.026,7126286.449,11019275.21,7023240.774,7673994.807,12251013.71,6129062.544,5816189.608,4354360.243,6018590.934,8099383.453,16241092.93,8315307.506,17082171.15,11328654.23,16984398.43,13221937.13,12834032.72,19399604.32,28862688.22,16110361.05,13722238.17,9075446.342,10307440.37,10209106.52,16160299.15
Feature0236,4629519.075,5055990.432,5398834.428,4148487.755,10232669.19,4680354.499,2392196.089,4665638.673,3837024.828,2839465.889,5294850.349,14561902.61,2017723.721,4230915.621,3017900.663,4371783.05,3789633.399,5107820.566,4027203.3,2829036.552,5193000.326,3803941.54,5474711.156,4940036.669,1713994.339,3128661.127,5036355.534,3499175.316,2970079.555,4607987.207,4435022.876,3888309.452,11628528.42,4822699.758,5083610.788,4942183.719
Feature0235,7180228.456,8555567.496,8663798.672,10453126.93,9520619.054,10797139.42,12310134.47,11067175.13,20443234.43,24627521.37,26071602.57,22423080.58,17303658.48,25282953.61,19678542.06,18563381.05,20365389.8,18201635.29,26982115.02,16112331.26,7106948.787,8344145.433,7301318.297,6586790.651,3132089.477,3012071.035,2153992.738,2685467.969,1214937.27,1557744.165,1163658.009,1071068.453,1049545.149,2884139.651,3087472.959,4697952.901
Feature0234,332031834.6,368061456.3,358303001.4,302894149.8,352060938.6,383877252.3,349103975,334872430.1,271961927.2,243976051.4,210474526.7,262904710.2,268427070.3,241478880.7,305222964.3,270669718.4,286182408.4,293356669.2,215767548.3,236454849.6,335306122.8,307077659.8,282343232.1,268671871.3,285190402.4,201512049.2,262094292.8,236980751.2,230419200.2,310339215.4,245782635.7,262770470.5,262934879,388723782.9,315300263.1,256239115.9
Feature0233,88661062.79,83180237.34,82206236.39,69689629.89,86108181.05,94030620.95,80181973.54,97114647.48,73362670.04,71962433.23,91617183.78,70394277.39,65531621.23,97219689.84,81770669.98,75560360.75,69666601.13,78445014.71,69124630.76,71551484.51,68831679.13,57203447.06,60111155.5,56091048.1,59016744.74,61229515.37,71215119.16,57343627.62,57860923.93,53440866.64,65612686.78,55212689.27,66598713.97,89484584.16,65054791.27,64401140.81
Feature0232,94188270.14,86012392.23,94749100.62,104698644.9,102307985,120247455,87763018.38,98070011.5,88419755.92,89516740.43,108710383,91669118.18,81831148.78,90060713.84,132336738.8,84378983.92,77832569.22,90862751.69,63620888.45,101887794.8,79278070.54,77803996.91,42866644.67,63787926.17,60152840.08,60816307.49,71527274.29,102822337.6,77396826.47,73117351.72,52932159.15,63398125.9,70393698.75,93482570.46,79541437.73,50433872.35
Feature0231,21432549.64,22278637.97,20197729.45,22339567.84,22778019.21,27495973.65,23336382.56,22369234.32,23449627.73,22793576.5,25237005.56,20414609.97,23785036.75,24401518.91,25778540.2,25806960.88,21183730.75,19670488.78,22756110.61,23944913.5,18558491.86,20292744.49,20085524.6,19659992.92,16922838.15,15069793.86,11739096.93,15649444.44,5562933.851,7177124.642,11023325.43,14468674.68,19285457.55,17190556.56,15659647.57,17620960.7
Feature0230,1840492.253,5350449.665,7033311.154,6850480.603,6752302.412,2392431.528,2382758.421,1969068.811,1308308.503,1609654.128,1494340.886,1167566.142,4356496.808,1093065.731,40285858.8,7425327.991,9414537.343,1152061.221,7750589.686,1923565.95,7148594.126,1738488.949,5665998.706,83186113.75,3191578.351,1668098.642,1521193.324,20005358.11,803419.7724,931583.8442,609169.2968,1131803.006,1442247.497,10074468.74,2267337.94,1087719.309
